"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 02:51:50 GMT 2025","Thu Sep 25 02:52:04 GMT 2025","14728","","","","","","Verify order form data persistence during session",""
"passed","Thu Sep 25 02:52:12 GMT 2025","Thu Sep 25 02:52:18 GMT 2025","6318","","","","","","Verify home page loads",""
"passed","Thu Sep 25 02:44:15 GMT 2025","Thu Sep 25 02:44:25 GMT 2025","10437","","tests.ContactModalTest","","tests.ContactModalTest","testContactModalClose","Test contact modal close functionality",""
"passed","Thu Sep 25 02:48:52 GMT 2025","Thu Sep 25 02:49:01 GMT 2025","8495","","","","","","Verify individual product details #1",""
"failed","Thu Sep 25 02:50:31 GMT 2025","Thu Sep 25 02:50:47 GMT 2025","15784","","DemoBlaze Order Placement","","Validate order form with different data combinations","","Validate order form with different data combinations","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:46:12 GMT 2025","Thu Sep 25 02:46:23 GMT 2025","10324","","","","","","Add product to cart successfully",""
"failed","Thu Sep 25 02:50:05 GMT 2025","Thu Sep 25 02:50:19 GMT 2025","14043","","","","","","Validate order form with different data combinations #1",""
"passed","Thu Sep 25 02:48:45 GMT 2025","Thu Sep 25 02:48:52 GMT 2025","6676","","","","","","Verify product listings on home page",""
"passed","Thu Sep 25 02:49:14 GMT 2025","Thu Sep 25 02:49:23 GMT 2025","8220","","DemoBlaze Home Page","","Verify individual product details","","Verify individual product details","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"failed","Thu Sep 25 02:46:23 GMT 2025","Thu Sep 25 02:46:44 GMT 2025","21548","","DemoBlaze Shopping Cart","","Manage multiple products in cart","","Manage multiple products in cart","  As a customer on DemoBlaze e-commerce website
  I want to manage items in my shopping cart
  So that I can review and purchase selected products"
"passed","Thu Sep 25 02:50:20 GMT 2025","Thu Sep 25 02:50:31 GMT 2025","11715","","DemoBlaze Order Placement","","Validate order form with different data combinations","","Validate order form with different data combinations","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:48:08 GMT 2025","Thu Sep 25 02:48:16 GMT 2025","8124","","DemoBlaze Contact Modal","","Reset contact form","","Reset contact form","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:43:01 GMT 2025","Thu Sep 25 02:43:24 GMT 2025","23013","","tests.CartPageTest","","tests.CartPageTest","testAddMultipleProductsToCart","Add multiple products to cart and verify cart functionality",""
"passed","Thu Sep 25 02:48:52 GMT 2025","Thu Sep 25 02:49:01 GMT 2025","8460","","DemoBlaze Home Page","","Verify individual product details","","Verify individual product details","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"failed","Thu Sep 25 02:50:05 GMT 2025","Thu Sep 25 02:50:19 GMT 2025","13951","","DemoBlaze Order Placement","","Validate order form with different data combinations","","Validate order form with different data combinations","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:48:28 GMT 2025","Thu Sep 25 02:48:36 GMT 2025","7475","","DemoBlaze Home Page","","Verify navigation bar elements are visible","","Verify navigation bar elements are visible","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"failed","Thu Sep 25 02:50:31 GMT 2025","Thu Sep 25 02:50:47 GMT 2025","15812","","","","","","Validate order form with different data combinations #3",""
"passed","Thu Sep 25 02:45:59 GMT 2025","Thu Sep 25 02:46:11 GMT 2025","12547","","tests.OrderPlacementTest","","tests.OrderPlacementTest","testOrderPlacementWithInvalidData","Test order placement with invalid data",""
"passed","Thu Sep 25 02:47:51 GMT 2025","Thu Sep 25 02:47:59 GMT 2025","7628","","DemoBlaze Contact Modal","","Validate contact form fields","","Validate contact form fields","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:45:29 GMT 2025","Thu Sep 25 02:45:44 GMT 2025","15556","","tests.OrderPlacementTest","","tests.OrderPlacementTest","testOrderPlacementWithValidData","Test order placement with valid data",""
"passed","Thu Sep 25 02:43:48 GMT 2025","Thu Sep 25 02:43:58 GMT 2025","10130","","tests.ContactModalTest","","tests.ContactModalTest","testSendInvalidContactData","Test sending invalid contact data",""
"passed","Thu Sep 25 02:42:21 GMT 2025","Thu Sep 25 02:43:01 GMT 2025","39526","","bdd.BddTestRunner","","bdd.BddTestRunner","runCucumberTests","runCucumberTests()",""
"passed","Thu Sep 25 02:46:12 GMT 2025","Thu Sep 25 02:46:23 GMT 2025","10255","","DemoBlaze Shopping Cart","","Add product to cart successfully","","Add product to cart successfully","  As a customer on DemoBlaze e-commerce website
  I want to manage items in my shopping cart
  So that I can review and purchase selected products"
"failed","Thu Sep 25 02:51:32 GMT 2025","Thu Sep 25 02:51:50 GMT 2025","17533","","DemoBlaze Order Placement","","Place order with multiple products","","Place order with multiple products","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:47:28 GMT 2025","Thu Sep 25 02:47:38 GMT 2025","9917","","DemoBlaze Contact Modal","","Send valid contact message","","Send valid contact message","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:47:28 GMT 2025","Thu Sep 25 02:47:38 GMT 2025","9965","","","","","","Send valid contact message",""
"passed","Thu Sep 25 02:49:30 GMT 2025","Thu Sep 25 02:49:36 GMT 2025","6306","","","","","","Verify carousel functionality",""
"failed","Thu Sep 25 02:51:32 GMT 2025","Thu Sep 25 02:51:50 GMT 2025","17554","","","","","","Place order with multiple products",""
"passed","Thu Sep 25 02:48:28 GMT 2025","Thu Sep 25 02:48:36 GMT 2025","7501","","","","","","Verify navigation bar elements are visible",""
"passed","Thu Sep 25 02:51:18 GMT 2025","Thu Sep 25 02:51:32 GMT 2025","14407","","DemoBlaze Order Placement","","Cancel order placement","","Cancel order placement","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:47:38 GMT 2025","Thu Sep 25 02:47:44 GMT 2025","6167","","","","","","Validate contact form fields #1",""
"passed","Thu Sep 25 02:49:23 GMT 2025","Thu Sep 25 02:49:29 GMT 2025","5884","","DemoBlaze Home Page","","Verify footer elements","","Verify footer elements","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"passed","Thu Sep 25 02:52:05 GMT 2025","Thu Sep 25 02:52:12 GMT 2025","7523","","","","","","Attempt to place order with empty cart",""
"passed","Thu Sep 25 02:52:12 GMT 2025","Thu Sep 25 02:52:18 GMT 2025","6287","","Simple DemoBlaze Test","","Verify home page loads","","Verify home page loads","  Simple test to verify BDD integration"
"passed","Thu Sep 25 02:45:02 GMT 2025","Thu Sep 25 02:45:09 GMT 2025","7379","","tests.HomePageTest","","tests.HomePageTest","testAllProductsAndFooterElements","Verify all products and footer elements on home page",""
"failed","Thu Sep 25 02:46:23 GMT 2025","Thu Sep 25 02:46:44 GMT 2025","21593","","","","","","Manage multiple products in cart",""
"passed","Thu Sep 25 02:46:56 GMT 2025","Thu Sep 25 02:47:06 GMT 2025","9407","","DemoBlaze Shopping Cart","","Verify empty cart behavior","","Verify empty cart behavior","  As a customer on DemoBlaze e-commerce website
  I want to manage items in my shopping cart
  So that I can review and purchase selected products"
"passed","Thu Sep 25 02:51:06 GMT 2025","Thu Sep 25 02:51:17 GMT 2025","11280","","","","","","Validate order form with different data combinations #5",""
"failed","Thu Sep 25 02:50:48 GMT 2025","Thu Sep 25 02:51:06 GMT 2025","18127","","DemoBlaze Order Placement","","Validate order form with different data combinations","","Validate order form with different data combinations","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:44:33 GMT 2025","Thu Sep 25 02:44:40 GMT 2025","6820","","tests.HomePageTest","","tests.HomePageTest","testCategoriesSection","Verify categories section is visible",""
"passed","Thu Sep 25 02:49:23 GMT 2025","Thu Sep 25 02:49:29 GMT 2025","5914","","","","","","Verify footer elements",""
"passed","Thu Sep 25 02:47:51 GMT 2025","Thu Sep 25 02:47:59 GMT 2025","7701","","","","","","Validate contact form fields #3",""
"passed","Thu Sep 25 02:44:53 GMT 2025","Thu Sep 25 02:45:01 GMT 2025","8974","","tests.HomePageTest","","tests.HomePageTest","testSamsungGalaxyS6ProductDetails","Verify Samsung Galaxy S6 product details",""
"passed","Thu Sep 25 02:51:06 GMT 2025","Thu Sep 25 02:51:17 GMT 2025","11259","","DemoBlaze Order Placement","","Validate order form with different data combinations","","Validate order form with different data combinations","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:44:06 GMT 2025","Thu Sep 25 02:44:15 GMT 2025","8472","","tests.ContactModalTest","","tests.ContactModalTest","testSendValidContactData","Test sending valid contact data",""
"passed","Thu Sep 25 02:45:09 GMT 2025","Thu Sep 25 02:45:19 GMT 2025","9408","","tests.HomePageTest","","tests.HomePageTest","testNokiaLumiaProductDetails","Verify Nokia Lumia product details",""
"passed","Thu Sep 25 02:46:44 GMT 2025","Thu Sep 25 02:46:56 GMT 2025","11769","","","","","","Remove product from cart",""
"passed","Thu Sep 25 02:49:54 GMT 2025","Thu Sep 25 02:50:05 GMT 2025","11344","","DemoBlaze Order Placement","","Validate order form fields","","Validate order form fields","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:51:17 GMT 2025","Thu Sep 25 02:51:32 GMT 2025","15066","","","","","","Cancel order placement",""
"failed","Thu Sep 25 02:48:17 GMT 2025","Thu Sep 25 02:48:28 GMT 2025","11275","","","","","","Contact form data persistence during session",""
"passed","Thu Sep 25 02:49:30 GMT 2025","Thu Sep 25 02:49:36 GMT 2025","6273","","DemoBlaze Home Page","","Verify carousel functionality","","Verify carousel functionality","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"failed","Thu Sep 25 02:49:36 GMT 2025","Thu Sep 25 02:49:54 GMT 2025","17931","","","","","","Place order successfully with valid details",""
"passed","Thu Sep 25 02:51:50 GMT 2025","Thu Sep 25 02:52:04 GMT 2025","14610","","DemoBlaze Order Placement","","Verify order form data persistence during session","","Verify order form data persistence during session","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:48:36 GMT 2025","Thu Sep 25 02:48:45 GMT 2025","8933","","","","","","Verify product categories section",""
"passed","Thu Sep 25 02:47:20 GMT 2025","Thu Sep 25 02:47:28 GMT 2025","7582","","","","","","Open and close contact modal",""
"passed","Thu Sep 25 02:46:56 GMT 2025","Thu Sep 25 02:47:06 GMT 2025","9446","","","","","","Verify empty cart behavior",""
"failed","Thu Sep 25 02:47:06 GMT 2025","Thu Sep 25 02:47:20 GMT 2025","14619","","DemoBlaze Shopping Cart","","Verify cart maintains items across navigation","","Verify cart maintains items across navigation","  As a customer on DemoBlaze e-commerce website
  I want to manage items in my shopping cart
  So that I can review and purchase selected products"
"failed","Thu Sep 25 02:48:17 GMT 2025","Thu Sep 25 02:48:28 GMT 2025","11236","","DemoBlaze Contact Modal","","Contact form data persistence during session","","Contact form data persistence during session","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:52:05 GMT 2025","Thu Sep 25 02:52:12 GMT 2025","7491","","DemoBlaze Order Placement","","Attempt to place order with empty cart","","Attempt to place order with empty cart","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:44:26 GMT 2025","Thu Sep 25 02:44:33 GMT 2025","7429","","tests.HomePageTest","","tests.HomePageTest","testNavigationBarElements","Verify navigation bar elements are visible",""
"failed","Thu Sep 25 02:49:36 GMT 2025","Thu Sep 25 02:49:54 GMT 2025","17860","","DemoBlaze Order Placement","","Place order successfully with valid details","","Place order successfully with valid details","  As a customer on DemoBlaze e-commerce website
  I want to place orders for items in my cart
  So that I can complete my purchase and receive the products"
"passed","Thu Sep 25 02:43:24 GMT 2025","Thu Sep 25 02:43:47 GMT 2025","23262","","tests.CartPageTest","","tests.CartPageTest","testCartItemDeletion","Test cart item deletion functionality",""
"passed","Thu Sep 25 02:47:59 GMT 2025","Thu Sep 25 02:48:08 GMT 2025","9026","","","","","","Validate contact form fields #4",""
"passed","Thu Sep 25 02:48:08 GMT 2025","Thu Sep 25 02:48:16 GMT 2025","8257","","","","","","Reset contact form",""
"failed","Thu Sep 25 02:47:06 GMT 2025","Thu Sep 25 02:47:20 GMT 2025","14710","","","","","","Verify cart maintains items across navigation",""
"passed","Thu Sep 25 02:47:44 GMT 2025","Thu Sep 25 02:47:51 GMT 2025","6978","","DemoBlaze Contact Modal","","Validate contact form fields","","Validate contact form fields","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"failed","Thu Sep 25 02:50:47 GMT 2025","Thu Sep 25 02:51:06 GMT 2025","18396","","","","","","Validate order form with different data combinations #4",""
"passed","Thu Sep 25 02:45:44 GMT 2025","Thu Sep 25 02:45:59 GMT 2025","14209","","tests.OrderPlacementTest","","tests.OrderPlacementTest","testOrderPlacementFormClose","Test order placement form close",""
"passed","Thu Sep 25 02:49:14 GMT 2025","Thu Sep 25 02:49:23 GMT 2025","8388","","","","","","Verify individual product details #3",""
"passed","Thu Sep 25 02:47:20 GMT 2025","Thu Sep 25 02:47:28 GMT 2025","7547","","DemoBlaze Contact Modal","","Open and close contact modal","","Open and close contact modal","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:49:01 GMT 2025","Thu Sep 25 02:49:14 GMT 2025","13847","","","","","","Verify individual product details #2",""
